type,plaintext,ciphertext
Vigenere,ewmxkwvhwoppyrvzbaihixysdviyrdmejfxsjwznnimabmuqjdfhvzjob,ktmwiuxcclpowpxuhxiggvanjsixpbozpcxrhubitfmzzkwlpafgtxljh
Vigenere,dsyptdzbmipzzlfdchqgujylpdsesqovuv,jjpuzuqgszgefcwiiyhlaapqvujjyhfaam
Vigenere,xxpenxzqznipinpqthnuwtdkqyjifrglljqeuftoglxynennquoukobutkwumtfxpnbfjtzxloxemxrc,hywgihaxbisqppkauoppgukmlikphmqmsllovmvjqmeaioouspyvrqweurypwumzkxcmlojysqsonetx
Caesar,dzptqjrkqnukndjnhbiqrqhhutavscwczrrycqchbtjwyie,miyczsatzwdtwmswqkrzazqqdcjeblfliaahlzlqkcsfhrn
Caesar,axzbozycculvvslfwjzkjefcqgrlbycjeyguibtrclriggpvyqhwsdqbhqcti,zwyanyxbbtkuurkeviyjidebpfqkaxbidxfthasqbkqhffouxpgvrcpagpbsh
Columnar,hccdufzmvfecspnbjoizeyvpcatmndbptqmucpfgmlbjunycvztqwobrgvijtgldrxslguxrpsfoptckoskyycvtktuv,cmpzappjzrglskcvhzsicbcbvbtspcyucvnettfutglgfovxuejvnmmywirxpkkxdfbymqgnqvduostxfcopdulcojxrtytx
Hill,ynsrokjjgeyucgcqpycjybyoocepfyrvyayqepdtbycwwqdeaanazcwurusojhb,tphracqveqmioseijalpfbsoikzhnkgbgcqmzhyrzoycwongaanabmskhckusxap
Hill,raebbgdjmgnunczchfeqwnvtkufhgcnatrhbxzsbdltigyxkxuhidyiqwtzfjkukdkpv,rtohjbpuuyfhhpthfwiwwhdscwxiaynnharsnocpjwvrmutzpjjzjjmcenxkfrqozvry
Columnar,kbwhddlmhhnfrqxswsluqbsocmufnbaiwshjhxlrtvnhebnbgwbgkcuyinzetzaanbmemxgwymgrqyxvzcnsngziizweojclcpv,dhxucbhrewuenxgvnzcxhhqlonslhgczammxsijvkdnsqmajtbbytbgrzgwlwmrssfwxnbknaeyyniopblfwbuihvngizmwqczec
Hill,wbvvhqbxpywwdhviadyxlezyiryuftbbtelhcyxqwikxnaolwkmaxllvjkyeabskphulgosalwijsugty,psdngjhjwjsabrqntqhmitwzvwowzbpnilbjwwgtqmhaanjkuoaojbdxubigpousbfjeciaislfooczahm
Caesar,ksdrrdlrqyxpbfypomwnynfowpxdlytwdrlqzommwawftbsbckbuyobkfnkmrkxjwnkoftorjouqnyk,rzkyyksyxfewimfwvtdufumvdweksfadkysxgvttdhdmaizijribfvirmurtyreqdurvmavyqvbxufr
Hill,iprlhoqrmdrmhhqlfkysllvxhrqmfkxtvchlocxfiu,jyfpizfwhkubhttccdmilpzdbjiocdphwlppqynvgg
Hill,grvqcjkbfqwpjosqzmefcglchqqiwqdryffphwckljwmgqgosmkendkithtycfqioxkxbllafeccebmtcqzcjfldxoybd,ojhgetitxcotjwkcjgizcczavwyggqrforffzewqvfmcwmmsqokkpreydnxokfygktofpdpgpmioolslaylkdxrxvgudvn
Caesar,gvfaootkduhvyljkpjzdxhajysjdoofdcqnraqbcnszkjstkwvbenyqwzibounlvhvdnxryvfposcundkysplkjpodl,peojxxctmdqehustysimgqjshbsmxxomlzwajzklwbitsbctfeknwhzfirkxdwueqemwgaheoyxbldwmthbyutsyxmu
Vigenere,yelgepxgkmwklazfnmbnwywbtjenfissmzpffvbotxlengkpuicvyilrtbgpfzkvzlmvqfbipxoiouodt,ztcaapyvbgskmpqzjmccnssbuyvhbithdtlfgksipxmteagpvxtpuimgkvcpgobpvlnkhzxiqmfckupsk
Vigenere,bxxcwxuvyqwniaaogxyqdunoqekkmfkepudmzasyaudymthpuawympogfmruz,jxbswecvcgwuqaeegegqhknvyeoammsetkdthawoablyqjhwcaaomwwgjcrbh
Vigenere,bvqrzlucsaikfpkytqafomxqaxjnxxxwmgcdzionrt,yqmfwgqqpveyckgmqlwtlhtexsfbustkjbyrwdkboo
Columnar,yknndujanelvknnppvjheuabuvpsjnzjhrmjmzhokzvzxumzrsluqyeqezmwgytexzbqctidwjudi,kjvpupjmzmueybdidenhunmoxsewxtuxnnnjbjrhzrymecjxnakvashzvzqztqwxyulpevzjkulqgzid
Caesar,ojeifdvustqknaqdktxhdxfbcfkqakqwmtmbjqjhkikc,ytospnfecdauxkanudhrnhplmpuakuagwdwltatrusum
Hill,vhsglptlyxrejkmhkmyqpxtnspzkfiffaacpfhpecdexkawzuvqq,jxeqjvlvhugjkzdaigmqbxrlfkmlktbvaadyhlwbtglsyodchoyk
Hill,ysvmqbkkpsujolybockyevqdoughbjnccryndskvovaawodpmkhzai,uienldaiqppfxddrouowrpnfgmblvocppbpdchlthnaasuzeysfiii
Hill,vdxbfvurkveltgjbczrbpmersovikqxoiyifnskmmyxrpqqzimdhbbubeogcvdgrmncrvanmryqviypodidzay,nyjwdipzfbpdwxtabvruovtluqmjgqwjoaxfmlmcaklaijrrgkfgvgnveucwnyzdxrntyhidcdxdoaypkdreqg
Columnar,lsfcwfotiantnsvbxjfokmgayllhtvfhcoinszpqwh,oskhihltvmtnfnolowwtflcqfaxafzsibgvscnjyhp
Vigenere,yezjwoqtrglvckagyiympbrrleqyzsnykptfgjfrwjpmquurvetlnpppvtsetefzcwcyvxtmyh,eyoeluqzlvgkikgandnsphlggtwyfmctzvtlayagcjvgfpjxvknaievpbnhzikffwlxnbxzgnc
Vigenere,yhexuemljvozbhlqkutegskafulfnkkbmfbrlhlizfflldwavznaneooppxbfxrzimolwdzmb,xcftatvoiqpvhwutjpuamhtdepmbtztelacnrwulyaghrsfduuowttxrokyxlmachhphcsipa
Caesar,uhmqluufomldahmvhrauegvzolilzgkjzadddafqucjsfxrcqthjftcskavrwvhufihozexfiiszndqbulybhmd,kxcgbkkvecbtqxclxhqkuwlpebybpwazpqtttqvgkszivnhsgjxzvjsiaqlhmlxkvyxepunvyyipdtgrkborxct
Hill,wipnquiprpopzxfzxkddytqdfpvtalrcwvdmvimzpmraybnvcubpvytpkujnudppiamlibuoebpxorjjtocgydfkbaiceruhcjfh,uwutyqrnqbzfahkbtouzznhzarirlldohjdixgpjtsbmhvivoamfnwkhqymbvlwvcybvdzgwpnedbhixjgamjxvmxqeafdzpdpsj
Columnar,qmrqwpahaygshjsuggnfncpmisupwpacnmhbkmslxjufkbogfysaqddqvnungwjcpablgvwdqbvgtsxbkdobvubsqxyjw,qaginxfvpqkqmygsmjynabdxqsfpbfanlgbjwhnwkkqggtvwaspasodjwxbxhumclgqcdbsxrgnuhusubvoypjcpmbdwvsux
Hill,cfglwdounzzccqzlykeiksmwahksbiadmhmrteqagnubkbttiovnnbfcqkfbrbedrupsndtgtsc,vwvkxiwwwzbnauyjagiqmmqupummnxzqvsjctdigdmbcjiofieedebrzwqalgjbyrpvjmdbfxrpo
Vigenere,bxdhoewcbatprlrqistqrwovhmtkurkhikyjpitnqdqystoeuunmzaclzsrdokgkpuchtppdoqfkuzgzsznqsgyrjuy,crjkmfukcuzspmpyjmztpxmdigznssipjeemnjrvrxwbqummvotpxbatamxgmlesqoikrqnlpklnsaehttttqhwzkoe
Hill,eegyeyipcgwwdmzvzzykvyydlpjkejllqpvucnqstjcpaoirasszkqyis,iegekwfnuqswdcilyzsopmdjmzjgppwlptzyjvokyxrpeknhuyzxsskurd
Caesar,ksuwjyxjuqgqoijdezmvojrqpvkhwnktqgdhjqy,vdfhujiufbrbztuopkxgzucbagvshyvebrosubj
Vigenere,zzajkowbddtqbdpsobxiolwpnorzqivwxlaenolmfckdwkbmyzlhxurovblnypqywvgnai,ctopbczvrjkeexdyfpaccrndqiffhwyqlrrsqizswqnxkqsabtznoiuijhcbbjeenjjhoo
Columnar,yuvtmgrarwdestvfjvkpgzrirsqrncxnukuzwdutnbsaffikxbqdjnqicovgkan,vasvrrudskjonurejzqnwbidcatrtkinkuaxnvxmwvprcutfbqgxygdfgsxznfqik
Caesar,nraqteptprkbnpdeorhuuormfrqiurugfttjhejkopkenhvlhjql,uyhxalwawyriuwklvyobbvytmyxpbybnmaaqolqrvwrluocsoqxs
Columnar,qahftfsumtinmwnrkybiwyovglipfjlblupvnwmkincyikwtrzyeyplrermpektfzgpj,hibipcympqmkglirezfnipvyepjurvbktrfxfwyjwkpkxtmwfniyexsnolmwltxatylunzrg
Hill,irbvrxsbgdpbgrwnobkkrpluklkjudjreggkisw,xcevolhobiwhhghibwkmsbnddkrojgsnqgeuqapo
Caesar,ojbmcxxntplkfbtqtcidqtlzvkemonuugndfdqzhpbfrxkgbuowxqprozczzugwineieyr,uphsiddtzvrqlhzwziojwzrfbqksutaamtjljwfnvhlxdqmhaucdwvxufiffamcotkokex
Caesar,mfrtxhorsprflyhevlzjnptzmrtteabjkghtdmjfjnphqaps,bugimwdgheguanwtkaoyceiobgiitpqyzvwisbyuycewfpeh
Hill,ikezwfodunhomoyfkagpmlooxjuknbjdzqkylafx,goxyhijgderziatyiczmfcuqejagovsfxdgmbxod
Hill,mghjsyfhtedaoajhvuroacbqzmrnmcgeolhodklarxqzvqwnrwpdxrynelhgjjpnywevqvtcoyybvxgjjkjohcwuzktrr,amyheswfptxdmosjtvlreafbzzwrsmcgvovhrdplqrvqlvrwbrepyxpyfefhwjypuyzenqltiorymvzgljtjxhswvzctqr
Hill,gywwpmmwscddlcvbvmtpfxsvkjlxlfgzxwsspdboqmcebuiopckbhapyivijeetlgvywspglagwasvcqdcgvsneutvt,muqimvyoacbuqbtmchhedwzrxxtijcbdkxgqhswlgkwoingmsjhdkbkzhxjtkszuttemnpzhmcyszrusmlttjxqgtgxy
Hill,qdogguvutobrravyylfxfefjpisqtygpwjcnmjc,jbaqugwdivjiehethvzaapxwsdyycjxzbdpxrfjl
Vigenere,kvdqmvkbxptkubkhhifnzyhzdhfgclbryvasyrzgrogsfxnwzjhl,zpqsxkeozaiehdvwbvhyosubowztewqllxlhsebrgituqmhjbuwf
Columnar,tidhvhfaknkgkzuhpkiegpdbsgejaeylzffnnxcmoesmififnnrdyrgzdaqtmkkgigtmwg,dkugezcirdkwhgkbenefrtgxiazeglxmnzkmvkpdafoiyqixhnhpjfmfdaggtfkisynsngmt
Columnar,ylgdqyfknfcjqbpypkyylvtueozgapzmtbmgkgtkkawakgqgodexhifhugnvefdewqplrfukmubzjdh,qqlakkherjgcyzmwenpbynpetkouwmybvpggiffdfptztqfduhlfkobadgqudjyggaxvlzkyumkghekx
Hill,brwcrgmytbrsfxojlkhjpkxkgwqmtboypriwddbtzgrehnylhidnxluqvcknmgwqnghiymozjyphoqxo,mhairvckcjxtqpveljqlzfbxgmkicjwiwtakmdaltndrstfyjjexizamdjjqgaukdzjjmadklnezssdf
Vigenere,siwbqbgfqgljhhgesgwxcwbwogohxdoamshyobthffxtjiamxigjl,jfzohyjshdowyejrjdzkttejfdruoarndpklfywuwcagafdzofjwc
Vigenere,rzoxhtsrmsgmrjofhkvymsvmdscozvkxsm,fjpilxgbndkqftpqlojindzqrcdzdzyhtx
Vigenere,oapmxyvxawzdqfqcbmezabjtnalrvtplxpyglxzjgkzpzkfntqncxcbozfyiauoddgbrsktfxnhxxffhoslaixoirnoimotvvgml,wkyztgfgnshnzsmklvrvilsgjivaipxvgcuovgmfouicvspwgmvmgpxwjoleiexqzolafgbpgadfhosdwcunefyrejwsvbpdfpzh
Hill,pnfqvjigawumyexdkztihzkxdsvxklhrvvefunxjzsxthqslcmhufwhkgjmniesqjrxwvdpojafvdvtvxaxfkjdcovcqmcb,uzdeejmwcamqeoovdvrkmdrvvskjxvqdyjflfdyvhugvxqzromvqnenqxxdhawqekpliujnmzcurafexjiavlvdsttmmcust
Vigenere,twdsolgciwzrmpdkjxhqlbbbrvtksnbvmokmsxjhyquwgqcznwcxmwooacctij,gyxhyyiwxgmtgenxlrwaydvqbivehxoxgduzuryrlsolqdetcgpzglybcwrdvl
Vigenere,olstofrpiscooggpirjanygwotsiucaaofpwqpzejliazavbypzffaqwyzmfjbedcnhtgadlrubebnorwhiqrunav,mylgpqpcbfdzmtzcjchnglhhmglvvnynhsqhocsrkwgnsnwmwcssglojrmnqhoxqdyfgznewphurcymepujbphgnw
Caesar,dcstnpjltnbshasfldkgxdoufmeogbnsvrjz,feuvprlnvpdujcuhnfmizfqwhogqidpuxtlb
Caesar,avnaafcpjmdoowghtvupbasmxyebqpjdxuzzdneumkmsslaodydorxggfvmugfqdawxcnijuswnjjwjvqvgduefnskqn,idviinkxrulwweopbdcxjiaufgmjyxrlfchhlvmcusuaatiwlglwzfoonduconyliefkvqrcaevrrerdydolcmnvasyv
Caesar,xobwcutuohwsbyfepezhuvrvxdouwvmcwfdlqpsfouwjwserkvdkyneoqzvevoxvnowkhgfx,duhciazauncyhelkvkfnabxbdjuacbsicljrwvyluacpcykxqbjqetkuwfbkbudbtucqnmld
Vigenere,olxtndptkbetbumlqdwigghlzmddsevxinvxuuiybqfxqencxppvekstvypnuael,qolipgtumesidxqmsgkxijlmbprsuhzykqjmwxmzdttmshrdzsdkgnwuxbdcwdim
Columnar,tenbnnqaxyigegwmlvsylcpdgsxhptkufcjmyygcvvjfuwnfsbmecpinveqxmkprduaranzfjdee,tnxellgpfyvuscvmdajenygvcstcyvwbpekundbagmydhumcffenxrrfenqiwspxkjgjnmiqpaze
Columnar,fjpfuqvypwnxivwpnkpoymtdoioaoygigxyvnfaojfmyueseifgmdvzprwmzjokzq,unntoyjsdmqfwpmaxoemwzfvipognmizjjyvoiifyfpoqxkdyvfevzxppwyogaugrk
Hill,dlaqacihbkqmbuujjdiufpkqwudploxabawwowpndepitohmdpy,czmgiehjnigobcdzqpuwqjcqgkshtadkzooowgypnyrslipsshdf
Vigenere,cdqktsgzuffqqaniuitykxhplwcluxjlegvh,saaysewwetecgxxwtujvulgbbtmztjziouut
Hill,sowxtwbiabdvhhpehngnwtugrcbaisbmvsjbjhdaocosdpoqjsonpjuklssqarnxdzfiyarnpbmqwpuppzbsyzipnuj,aepxaxatfhlkpysttohzvvkegjmpemuvezjmncktwqyyhuokqbzprcegofkshplsfmwbcwjidyqgbtdptkylxpprwxpk
Caesar,zcjyxueotccifsbkwfoiosltcrdnsrnsvrsdmbclxiywxpkpxvblpwbxewgvxrpzeflpmwtdpserzkjyyj,qtapolvfkttzwjsbnwfzfjcktiuejiejmijudstcozpnogbgomscgnsovnxmoigqvwcgdnkugjviqbappa
Vigenere,tjrfxoqdjgomusakwacbpscefvuvoqzeplbaksvjmii,hnwfdcuijmcqzsgyafchdwheljyaowniulhooxvpamn
Columnar,xfwgkorfsyrtakpwtkzffjdwhztkecpobphszpspgckotwihjtwvlizsoshcuqcewgdzsjklzilxkbxcqwklr,xksatfhebzgtjlouwszkqrwrrpzdtphskiwzhcdklxkxfoykkjzcppcwtisqgjibwxgftwfwkospohvscezlxclx
Caesar,oppnwqgftruwcmxgwyrgimrklghgohsnlftnvwlwkymokecredgrggo,rssqztjiwuxzfpajzbujlpunojkjrkvqoiwqyzoznbprnhfuhgjujjr
Columnar,zyuwkanqzmrvueakrbcftorzjvabkhgqcxztlozwulqmlvrwtlwcopnnzfkqcyzcisimdxkg,yamebovhxolvlpfysxwqvkfzbqtwmwcnqcmgunracragzzqrwnkzikzkzurtjkclultozcid
Vigenere,lclsqvnfimwdmgephezbnkuyohdtevnemqpgbvkkegaguvpzlto,ttbfsxvwyzyfuxucjghsdxwawytggxvvcdrijmaxgiixkirbtke
Hill,hbziekjkhaibbalinbssqxylxmjceaancvmyjlvevehjggdvypwtppdkcctnuhizyywdozzsfhhnt,tagfkoajmtrzyzithumezpdbmjwfswnnnpoahqmhmhxeeklofdlhxmmpkmbujddlqodzrfyxnszgtm
Columnar,mfyvndcskahkpvosxxhsuipyjvaohqrhoqakojbejhfxarwdmvioeexayj,ykouaobaiynhxphajwexdkxyqkhdexfsvsvhjxvavasioqerojmcphjrofmx
Hill,ntmsrvhzkdwtdhqpuyzzeqvkoyydrexkxldhohgqibuixoyutoziaewfhkhrsobryitgsginpgkfu,paqktmzifrdbhwbjqibkamklyqvhwzqrzehwbdgshlciarsuofexkahbuvfiycnqouufecllitxrhv
Columnar,ilauxqlaydpcvguoxlinzoqmbgslimqvwarohlsbkxxtxkaipoubpoubvbqgzjinxdbulejgzhnkpwtxztikrqj,aomvbibngxxluqqsauijtjapisrxuqbniqgomlkojewqldlgaxobdhtiyxbwkpvxzzucnlotbgukkxvzihxpzlpr
Hill,thszihzadvnjqmemutvdsshlbzivhrylcggwsw,tjnyzekjztfduqkuherhmarxbvbadzdaskkouk
Hill,xnycrhyospqosuxtycvoolzubsmikcfmhcvjutjxazstgccppguwpsrwkzlunhnas,ncqirmiwqzikeujwqivlkxrlbdmkqafpdphqwlpksbwvquqbjxuiblhxsdrdrgnncr
Columnar,jtehdrgxryuekoxcdzufmanxosueaaacpiiibnyugunzrllaulmmtlylr,hrouxaiyzulxexkznepnnatxdyxfoaiurlyxtgedaucbulmrjrucmsaiglml
Columnar,fmwsaobjuqkvbllpdklrbgoukfdirvqjounduobbwxkufvvwohlfxbueyldrotoy,faubdbkrouwfoxyomoqlkgfvuoxvhbltwbkllodqnbkvludosjvpruijdbuwfery
Caesar,pitjkttpjqmvggystfvqblcxpgiubvfdtsijcjijpzqnpjxjpejqyhecusgojtbakcpf,yrcstccyszvepphbcoezkulgyprdkeomcbrslsrsyizwysgsynszhqnldbpxsckjtlyo
Columnar,lolngjivxcpjzjtgrrygbufpffbtazvtihxdssgxurxryhilqhbaevynnocejr,liptyfbvxgxibycxlgxzrbfaisuyqenjnvjggpttdxrlanexojcjrufzhsrhhvor
Columnar,xnuxiiyanemcygpidbckvldfnydciauvdlvqinokrcwbwvedxotzjilopviwksskplzgekcgjniopnjiejxupk,umcdvwtizixaifvkdokgixxndndrxppjenebylcovlnjiyviiwjkeppxckcqbzwgouiglanvisknkypduoelscjx
Caesar,xrhqxdtzxbahdhaszbjecjlbdelupnkycikjeplmadjtiuagyiiqrkeodwekljpfngnvmddswhqtrepb,keudkqgmkonuqunfmowrpwyoqryhcaxlpvxwrcyznqwgvhntlvvdexrbqjrxywcsataizqqfjudgerco
Caesar,pgdcocczckfvapwdqjpjkrdioymcdioehyowxochssjkrojpzzkdzbenppthbzdo,tkhgsggdgojzetahuntnovhmscqghmsilcsabsglwwnovsntddohdfirttxlfdhs
Columnar,cwaijqcubxbuedgfeflmdpxktrrempdqwnh,cceltdixfpenqufkpxabgdrwjbexmhwudmrq
Columnar,euofhygnupldpgttnhiyrykqbngeftpgpbhlefrynigautgqlqkoewufvopekojwkmdwwggdvdipwik,fdyelaoewpolighgkpdintqgyqfwdxeunbpnlvkvygytftwogihprfeuekwwgtkprgujgkuphnbiqomd
Hill,fbrzdcnpbjdzscjfhbcdkuidqybbypbmgrcwnukrechpotegeqqapiwzesvhnayysltrvkvrtn,dqrkctrgnojksgrctqjjqifjuuxqbtgxrzioovxzkgvghfssmwyaglfxqcnianguxhrmgrhmja
Vigenere,pvjmlyghtlkbvpxmgorhpnbqtyvsgyqllvwkqpixjutvlsazyjbgvplicxjimorgdhwjfbqqjmundwonm,vtbfkeezmkqzniwsegkgvltjsetkzxwjdovqohbwpslokyyrrihenikoapchsmjzcnubyawobfttbohms
Vigenere,qvpiltshosbntwasbuouzntrksxfwcfllnwpsxwvnnodndbfyfkxcnctfhdhpgbjepylyogawjwmikvmjptzfvpjen,rcszurtorjkluddjkspbcecplzawfagsoefntezmwlpkqukdzmnolldaiymfqneannzsbfpyxqzdriwtmgcxgcsanl
Columnar,quhopqfvcewrvnewsdygphygstltzkoopqwcbjrhyxbxslfngidiwwtwioqiuagojfmguc,orgtcxiighwylwbdqmqcsspygijqnhkjlwacfeyorftgxuedtqxiofpvpzbswuuvwgohnwox
Columnar,phelcbwvmxdjuqdukvwccgjyxjuznjomuhonbksyhxyjfiwwrpdmbvisicifgjjyzmeldilazoqnvqbnqxgxoujcs,lvjucyzmnyjwmsfylannxcxewddwjuoosywdiijelqbgjxpcmukcxnubhfrbigzdzvqoshbxqvgjjhkxipvcjmioqxux
Columnar,tpzhkfnkfxfpbjqwctmeobvtbudpdcrgisssxzqlaoqtehtohdaxrsqhqvbeflrbqclxnw,pfwvcxtavqnjopsohhrwkpmuiltsfxhftbgqhreltkqbdsqdqbzxctrzexbcfbedsaoqln
Hill,jwkvviqjbywbhsdghxtcpqsubumshlyjuyxvmhsrpfmogmzcujslkibvtxuz,ipndkjzhcfxvglqtvecnmvwwqvuwlaljyanqnbnvfaimgmyvfvvtaqtenubj
Vigenere,gqzkezekblsdxkrpnjblgwjwfjoqejolafbqgnxzipleudkxugrzjekjaoceurpwwfkgyshphh,piuutpwttgcsncahitqbyfbrpyeinbjvpvtzyihoyhuwpnznmpjuttabjgxojhhfoauvokqhcr
Columnar,wteztydmcqovccpwjqhefnapfgylcmgawwrxhlttqlsnonkktcajwogwcdpsfcpwvugt,emcqalwlskwdptwyowfggxqnawfutqpefmrtocgsvxtdvjnyahlkjccgzcchpcwtntopwx
Columnar,fumhoxjmxovlplylchgdzpjziosfntktamyupezalifcyuf,hvhitzuxpdsmlxuxljtpcmoczkeyfmypnufjlzfyixolgoaaf
Vigenere,fwbcwfwzhfunkezyycvfmreeympalxksybcjryosidwfhxmd,knpweggeytovloepmwdgwwvssuqkqoymgcmoimiajnbwvrue
Caesar,qyverpeexocqnsgydbjhpyvjsjqelhdpvtkiujmyxdfdmgvoisdddhkuknkzqbeqcgcewkiipunubww,rzwfsqffypdrothzeckiqzwktkrfmieqwuljvknzyegenhwpjteeeilvlolarcfrdhdfxljjqvovcxx
Hill,bxydrvzchgbouendwskxxnrwvejdgptxpbouxuovnkxrqda,xopxtcgdcdyliyrouyttxuqlwnngnrpyzagacfdjwzlehhjz
Columnar,vyvwqlmopijctfiyfwrgqtthflweycgcusxhsbpcugmepqmdmnbwmchqlyuczchk,vifhgbpwuxltgwsudhcxwjwfcpqmcxmfqexgmqhxvoityhmnlkqcrlucmczxypytcsebyx
Vigenere,tpgtorkbedrhgipzejzddfmvatplzjaezwpvrthknscgohtfwnrxeskgy,ordmnmmyxcmjdbouggscyhjozorisivgwpoqtqajiuzzncvcpmmzbljba
Vigenere,iqtumgrwnkmnpjlcmomlcsqixbovqkprhvnvdurpzqiwdiqdvrbpkgpucjhconjbyzjjcqiznb,obqevqpcyhwwzhrnjyvvaybfhkytwvmbqflborbyjoohaszntxmmupzsiuemxxhhjwtsmookkl
Hill,floaxkogkyycwjsplvuzphowsnfdra,nfeqxcmuuumewhozhvsdnpqwuplrdm
Columnar,gagvdtvczlcdybvnojpqwhvbjvrelsom,dcovlxvlnhextdjbsxgvypjoacbqvmgzvwrx
Caesar,rggakkfnkjryqevgajparsfaqrdanfqvshukipruxbleld,fuuoyytbyxfmesjuoxdofgtoefrobtejgviywdfilpzszr
Caesar,nfplojxwvlvmwdcoohanroadjzvdsftvlhtledpspiippeujcmmmswpgnv,zrbxavjihxhyipoaatmzdampvlhperfhxtfxqpbebuubbqgvoyyyeibszh
Vigenere,blcvxxzwrygrwtvvaxpnrtictzywgxt,jhkeruhszhaoepdeuuxjzcczbvgfaub
Vigenere,ashgzrajzqhuutflohfqtjcatoxrcdvpjyhyxvisfhwitusugirwroswmxyfcc,mpblxoqvwkmsrjriimdnjvzuymuhoapuhvxkupnqcxifnzqrwuoqwmpmyuskaz
Caesar,jvhobudbvuobrrxqnkadgonivwfndegoyhibgtmtbmqkyxmbjvykytlnwvsfpiawlzgwcipfxwhsjvaiszswkvs,gselyraysrlyoounkhxadlkfstckabdlvefydqjqyjnhvujygsvhvqiktspcmfxtiwdtzfmcutepgsxfpwpthsp
Vigenere,yddeaddlsczedgxwmmvemtwltkpyjlhcrxvajgmslxrbhkgdcmvhsrsggw,ikfwhnnsuugonnzotwfloldvdrrqqvrjtpcktnokshbijcnnmtxzzbcnio
Caesar,yxgfrziavrtigjdcmnogqqtpaklrzgqlovawvunhatxsywdezowxtzenywishvsmvltmmttqtpnjvlutzzkefyijtixdco,fenmygphcyapnqkjtuvnxxawhrsygnxsvchdcbuohaezfdklgvdeaglufdpzocztcsattaaxawuqcsbaggrlmfpqapekjv
Caesar,bswuwmvslnybbgsfnkvlqomnxbvwgjqyerezzpxtbcjhyocjrcawcno,mdhfhxgdwyjmmrdqyvgwbzxyimghrubjpcpkkaiemnusjznucnlhnyz
Columnar,hcfudhndfemrydgpbpmhunodmxhsqrw,dpdxurhscepxfmmhhdnrngowdyuqhfbm
Vigenere,glodkvadpmcucbmzdikjsbsnqbfyudkgufmyibw,orydzqsuxsmurweqloujhwkeyhpyjycxclwyxwo
Hill,tmmdlozmlajdjkxidihzhtqxqxfhewrwvzzcibgcvrxgeylprsuisfojlakyamyahvgbnajbjxba,uhdvejefoflwglghqfnyvajnjnzwmamntcarzxqgvwazsihaaxoitbhbofcgkwosbinpanfotygr
Vigenere,svnhophevwtpqixjiaxuybqypvrhuqwaqwsgbssyvxc,ivlnkfhcbsjpootziydqoboellrfammaocowbqyulxa
Caesar,zxgktxuckylhiizfkkyefewwkjnkjbhavddkciydexulyjrmndjjgovudtckiidefvtyheevzhsshkeocwuexosehvpgrjdlqst,xveirvsaiwjfggxdiiwcdcuuihlihzfytbbiagwbcvsjwhpklbhhemtsbraiggbcdtrwfcctxfqqficmauscvmqcftnephbjoqr
Caesar,pdzmtbwucqrzdfwebgvflehrnspnmpggsnomknifqnlwzujzsk,vjfszhcaiwxfjlckhmblrknxtyvtsvmmytusqtolwtrcfapfyq
Caesar,axsctxmtpzlherjufxwjykthhfbkxkmxeanoebvbltwrsqdjgtwijldzb,czuevzovrbnjgtlwhzylamvjjhdmzmozgcpqgdxdnvytusflivyklnfbd
Vigenere,lstdaldtjoimyvcxtxvayjtbtlajxqgmhyoylyooswagnenyrskjlwtgzkjaxtqnojv,hjwwshuwcgedboutkaosuawulhrmqicdkrgucbhgondzfaebkkgaoplcqncstktggfm
Caesar,lectemxzhlbqapgsfgemisareyzlyiaaakuzlvwpc,vomdowhjrvlakzqcpqowsckboijviskkkuejvfgzm
Hill,ocqwsexuqchmhfbtuiedqscadvqmrazjsgkozorrwvjgigplsvwrxcsmzqdlppvqwlinzerilvkqhivnwkrmixz,omgamcxqmgfeyxsdoazrcwyuszwqjokzoeekpeafzhxsyiwfdtvdfyukrgipajvspxfpfurwkbgmbaspowvapzyn
Vigenere,mzyxztsvjrpekmzqhgzolveyrdumxdhgyqsxdjkhwxzgcgdp,kgiedmyphyzloffkfnjvpokspketbwnawxcehcqbuejngzjj
Columnar,vnhblmuxuyzkeqxottrohcanbukqtgkvcpslxbzuthxxfljkqmxrcaxsshnvlbaiixoekpopbmwdgshjvuqreftvpwrkggbbuzgi,nmyqtcugpbhlmahbxpmsufwgzhuzxrakkszxjxxnaoowhqtrbgbxkoonqvluxkrsviepdjrvkbivluethbtcxtfqcslikbgvepgu
Columnar,zxdpigfbiscwvgqrjqmzlggkqzyzwwllnbbcxhicrzkllnfiqxvsrlrpdpkxukscqxyapvmlmxcdnf,zijqnrqdqmxsqzbzxpxxfqglifrsmxbrklcipclxivlwxlrupngggwhnlkvfdcmybkvkycpwzzclsxad
Columnar,eufqewwnbucbtwymxorwzhznnsyvgbjustwwzohetdmhqqqziynlbvpktiojjigftkujrsitacpuwhbrvwdszt,uwuwohsbtodqyviikschwtfwcyrzyjwhmqnpoguipbdxeebtxzngsztqibtjtrawvzqnbmwnvuwehzlkjfjtursx
Vigenere,hxjygirwgvfayfjmxqdqwskoskiparrspoibycuvtbyjpulykqbniyumhdyftjjhxywtkmkapbngkzxerykimbyyhno,mkymlfqbtktfveozmeinvxxdgpfofeggulhglriaqadweiqvjvocwdrlmqntygimknkyhlpnepsdjektfdhhronmmkn
